model,dims,strategy,size
efficientnet_b7,1x3x128x128,greedy_by_longest_with_first_gap,64159936
efficientnet_b7,1x3x128x128,Symbolic CSP,64159936
regnet_y_400mf,1x3x128x128,Greedy by Size,6205568
regnet_y_400mf,1x3x128x128,greedy_by_size_with_first_gap,6205568
regnet_y_400mf,1x3x128x128,Greedy by Longest,6205568
regnet_y_400mf,1x3x128x128,greedy_by_longest_with_first_gap,6205568
regnet_y_400mf,1x3x128x128,Symbolic CSP,6205568
regnet_y_800mf,1x3x128x128,Greedy by Size,8887424
regnet_y_800mf,1x3x128x128,greedy_by_size_with_first_gap,8884000
regnet_y_800mf,1x3x128x128,Greedy by Longest,8883968
regnet_y_800mf,1x3x128x128,greedy_by_longest_with_first_gap,8883968
regnet_y_800mf,1x3x128x128,Symbolic CSP,8883968
regnet_y_1_6gf,1x3x128x128,Greedy by Size,11828056
regnet_y_1_6gf,1x3x128x128,greedy_by_size_with_first_gap,11396472
regnet_y_1_6gf,1x3x128x128,Greedy by Longest,11396472
regnet_y_1_6gf,1x3x128x128,greedy_by_longest_with_first_gap,11396472
regnet_y_1_6gf,1x3x128x128,Symbolic CSP,11396472
regnet_y_3_2gf,1x3x128x128,Greedy by Size,19337728
regnet_y_3_2gf,1x3x128x128,greedy_by_size_with_first_gap,19128456
regnet_y_3_2gf,1x3x128x128,Greedy by Longest,19128456
regnet_y_3_2gf,1x3x128x128,greedy_by_longest_with_first_gap,19128456
regnet_y_3_2gf,1x3x128x128,Symbolic CSP,19128456
regnet_y_8gf,1x3x128x128,Greedy by Size,39090688
regnet_y_8gf,1x3x128x128,greedy_by_size_with_first_gap,36775424
regnet_y_8gf,1x3x128x128,Greedy by Longest,36775424
regnet_y_8gf,1x3x128x128,greedy_by_longest_with_first_gap,36775424
regnet_y_8gf,1x3x128x128,Symbolic CSP,36775424
regnet_y_16gf,1x3x128x128,Greedy by Size,65439440
regnet_y_16gf,1x3x128x128,greedy_by_size_with_first_gap,60879728
regnet_y_16gf,1x3x128x128,Greedy by Longest,60879728
regnet_y_16gf,1x3x128x128,greedy_by_longest_with_first_gap,60879728
regnet_y_16gf,1x3x128x128,Symbolic CSP,60879728
regnet_y_32gf,1x3x128x128,Greedy by Size,89443480
regnet_y_32gf,1x3x128x128,greedy_by_size_with_first_gap,84517656
regnet_y_32gf,1x3x128x128,Greedy by Longest,84158752
regnet_y_32gf,1x3x128x128,greedy_by_longest_with_first_gap,84158752
regnet_y_32gf,1x3x128x128,Symbolic CSP,84158752
regnet_x_400mf,1x3x128x128,Greedy by Size,2787872
regnet_x_400mf,1x3x128x128,greedy_by_size_with_first_gap,2787872
regnet_x_400mf,1x3x128x128,Greedy by Longest,2787872
regnet_x_400mf,1x3x128x128,greedy_by_longest_with_first_gap,2787872
regnet_x_400mf,1x3x128x128,Symbolic CSP,2787872
regnet_x_800mf,1x3x128x128,Greedy by Size,5051296
regnet_x_800mf,1x3x128x128,greedy_by_size_with_first_gap,5051296
regnet_x_800mf,1x3x128x128,Greedy by Longest,5051296
regnet_x_800mf,1x3x128x128,greedy_by_longest_with_first_gap,5051296
regnet_x_800mf,1x3x128x128,Symbolic CSP,5051296
regnet_x_1_6gf,1x3x128x128,Greedy by Size,7157728
regnet_x_1_6gf,1x3x128x128,greedy_by_size_with_first_gap,7157728
regnet_x_1_6gf,1x3x128x128,Greedy by Longest,7157728
regnet_x_1_6gf,1x3x128x128,greedy_by_longest_with_first_gap,7157728
regnet_x_1_6gf,1x3x128x128,Symbolic CSP,7157728
regnet_x_3_2gf,1x3x128x128,Greedy by Size,8297824
regnet_x_3_2gf,1x3x128x128,greedy_by_size_with_first_gap,8297824
regnet_x_3_2gf,1x3x128x128,Greedy by Longest,8297824
regnet_x_3_2gf,1x3x128x128,greedy_by_longest_with_first_gap,8297824
regnet_x_3_2gf,1x3x128x128,Symbolic CSP,8297824
regnet_x_8gf,1x3x128x128,Greedy by Size,22805920
regnet_x_8gf,1x3x128x128,greedy_by_size_with_first_gap,22805920
regnet_x_8gf,1x3x128x128,Greedy by Longest,22805920
regnet_x_8gf,1x3x128x128,greedy_by_longest_with_first_gap,22805920
regnet_x_8gf,1x3x128x128,Symbolic CSP,22805920
regnet_x_16gf,1x3x128x128,Greedy by Size,25374624
regnet_x_16gf,1x3x128x128,greedy_by_size_with_first_gap,25374624
regnet_x_16gf,1x3x128x128,Greedy by Longest,25374624
regnet_x_16gf,1x3x128x128,greedy_by_longest_with_first_gap,25374624
regnet_x_16gf,1x3x128x128,Symbolic CSP,25374624
regnet_x_32gf,1x3x128x128,Greedy by Size,35979520
regnet_x_32gf,1x3x128x128,greedy_by_size_with_first_gap,35979520
regnet_x_32gf,1x3x128x128,Greedy by Longest,35979520
regnet_x_32gf,1x3x128x128,greedy_by_longest_with_first_gap,35979520
regnet_x_32gf,1x3x128x128,Symbolic CSP,35979520
